dia,camino,comienzo,final,distancia
Lunes,ida,2022-03-14T19:34:11.000Z,2022-03-14T20:19:56.670Z,37590
Lunes,vuelta,2022-03-14T22:50:25.529Z,2022-03-14T23:44:38.412Z,36538
Lunes,ida,2022-03-21T10:51:14.000Z,2022-03-21T12:19:51.758Z,38897
Lunes,vuelta,2022-03-21T15:08:14.000Z,2022-03-21T15:50:57.248Z,37694
Martes,ida,2022-03-22T10:05:20.125Z,2022-03-22T11:03:03.270Z,37345
Martes,vuelta,2022-03-22T15:02:45.027Z,2022-03-22T15:54:12.401Z,36725
Miércoles,ida,2022-03-16T09:47:29.658Z,2022-03-16T10:41:22.021Z,34950
Miércoles,vuelta,2022-03-16T20:34:38.981Z,2022-03-16T21:42:52.310Z,34080
Miércoles,ida,2022-03-23T09:54:58.084Z,2022-03-23T11:03:57.377Z,36124
Miércoles,vuelta,2022-03-23T20:27:39.095Z,2022-03-24T00:09:37.055Z,44604
Jueves,ida,2022-03-17T19:21:41.000Z,2022-03-17T20:06:14.942Z,37445
Jueves,vuelta,2022-03-17T23:01:22.027Z,2022-03-17T23:56:44.158Z,36466
Viernes,ida,2022-03-25T12:40:12.000Z,2022-03-25T13:24:00.041Z,36932
Viernes,vuelta,2022-03-25T15:00:20.508Z,2022-03-25T15:55:18.000Z,38778
